Cele mai populare interogări,23.08.2026 - 08.09.2026 Clicuri,01.08.2026 - 17.08.2026 Clicuri,23.08.2026 - 08.09.2026 Expuneri,01.08.2026 - 17.08.2026 Expuneri,23.08.2026 - 08.09.2026 CTR,01.08.2026 - 17.08.2026 CTR,23.08.2026 - 08.09.2026 Poziție,01.08.2026 - 17.08.2026 Poziție
e ghiseul ro,0,2,9,17,0%,11.76%,2.11,1.24
care este valoarea minima a indemnizatiei de crestere a copilului,0,0,9,27,0%,0%,2.78,3.93
lege pensie alimentara cu 2 copiii,0,0,9,0,0%,0%,3,0
calculator concediu crestere copil 2026,0,4,9,16,0%,25%,3.44,1.94
impozit toyota rav4 2.5 hybrid,0,0,9,4,0%,0%,4.67,9.5
indemnizatie nastere copil 2026,0,0,9,9,0%,0%,4.89,6
netto brutto calculator,0,0,9,0,0%,0%,5.67,0
cât e amenda de rovinietă,0,0,9,0,0%,0%,6.67,0
certificatul de casatorie se elibereaza pe loc,0,0,9,5,0%,0%,8.22,10.4
indemnizatie crestere copil optiunea 2,0,0,9,4,0%,0%,9.67,12
certificat de casatorie pierdut,0,2,9,41,0%,4.88%,9.89,7.59
cat costa eliberarea cazierului,0,0,9,45,0%,0%,14.11,3.24
cat costa cazierul,0,1,9,67,0%,1.49%,27.22,4.48
cazier auto online,0,77,9,770,0%,10%,28.89,3.08
cat costa cazierul online,0,1,9,45,0%,2.22%,30.11,3.09
ghiseul,0,16,9,4109,0%,0.39%,40.22,4.22
cazier persona fizica,0,0,9,14,0%,0%,40.78,30.93
dobanda legala,0,3,9,74,0%,4.05%,46.11,1.86
cat e impozitul pe salariu,0,0,9,10,0%,0%,52.67,9.7
cass pfa,0,2,9,56,0%,3.57%,66.78,5.38
indemnizatia de crestere copil se plateste pentru luna in curs,0,0,9,5,0%,0%,69.11,10
rovinieta romania,0,0,9,50,0%,0%,74.22,10.94
cazier fiscal ce inseamna,0,0,9,30,0%,0%,74.33,36
pe ce perioada se calculeaza baza de calcul a indemnizatiei,0,0,9,33,0%,0%,76.89,5.55
cit este tva in romania,0,0,8,0,0%,0%,1,0
cum se calculeaza concediile medicale,0,1,8,31,0%,3.23%,1,3.16
impozit auto capacitate cilindrica,0,2,8,107,0%,1.87%,1,4.42
tva 21 de cand,0,0,8,80,0%,0%,1,4.59
tva 21 de cand se aplica,0,0,8,20,0%,0%,1,4.1
cât este tva,0,2,8,21,0%,9.52%,1.12,1.9
numar de carte funciara,0,0,8,0,0%,0%,1.12,0
cat e tva acum,0,1,8,17,0%,5.88%,1.38,1.18
care este suma maxima pentru indemnizatie crestere copil,0,0,8,3,0%,0%,1.5,1.33
cat timp este valabil extrasul de carte funciara,0,1,8,29,0%,3.45%,1.75,1.41
impozit 3000 cmc 2026,0,0,8,10,0%,0%,1.75,3
impozitare dividende 2026,0,2,8,13,0%,15.38%,1.75,2.23
femeie,0,2,8,101,0%,1.98%,2.12,2.98
tva acum,0,0,8,6,0%,0%,2.12,1.67
salariu minim pe economie,0,0,8,8,0%,0%,2.25,3.38
pensie anticipata femei 1967,0,65,8,1317,0%,4.94%,2.62,4.34
impozit auto 2026 iasi,0,2,8,12,0%,16.67%,3.12,3.25
indemnizatia minima,0,0,8,0,0%,0%,4.12,0
tabel varsta pensionare,0,3,8,16,0%,18.75%,8.12,8.69
amenda pentru rovinieta neplatita,0,0,8,12,0%,0%,10,2.75
taxa cazier judiciar brasov,0,1,8,59,0%,1.69%,18.38,6.71
verificarea rovinietei,0,1,8,32,0%,3.12%,22.88,6.91
cazier judiciar persoana fizica,0,0,8,100,0%,0%,30.5,9.51
plata indemnizatie crestere copil,0,0,8,24,0%,0%,35.5,10.88
cas si cass pfa,0,0,8,26,0%,0%,49.5,7.96
taxa cazier fiscal,0,0,8,55,0%,0%,50.25,13.73
indemnizatie crestere copil se plateste pentru luna in curs,0,0,8,5,0%,0%,59.62,11.6
indemnizație creștere copil,0,0,8,13,0%,0%,71.75,14.54
cat e impozitul pe dividende 2026,0,0,7,28,0%,0%,1,2.25
cat este pensia pe caz de boala psihica,0,3,7,94,0%,3.19%,1,6.57
cnpp varsta de pensionare,0,24,7,274,0%,8.76%,1,5.76
cote tva in romania,0,0,7,8,0%,0%,1,2.5
impozit auto 3000 cmc 2026,0,0,7,27,0%,0%,1,2.56
noua lege a pensiilor varsta de pensionare,0,0,7,8,0%,0%,1,3.25
cat este tva-ul?,0,0,7,5,0%,0%,1.29,1.2
indemnizatie crestere copil cat este,0,1,7,22,0%,4.55%,1.43,2.14
sunt nascuta in 1970 cand ies la pensie,0,1,7,25,0%,4%,1.43,2.64
cat timp este valabil un extras de carte funciara,0,2,7,13,0%,15.38%,1.86,1.62
indemnizatie crestere copil minim pe economie,0,1,7,9,0%,11.11%,1.86,1.89
pensie alimentara minima,0,0,7,10,0%,0%,2,4.5
tva este 21,0,0,7,9,0%,0%,2,2.33
indemnizatie crestere copil minim,0,0,7,17,0%,0%,2.29,2.24
impozit auto craiova,0,3,7,36,0%,8.33%,2.43,2.69
calculator concedii medicale,0,2,7,34,0%,5.88%,3.14,4.53
ancpi,0,3735,7,181043,0%,2.06%,4.71,6.74
impozit auto iasi,0,1,7,65,0%,1.54%,5,4.95
calculator procentaj,0,0,7,97,0%,0%,5.57,4.84
impozit auto sector 3,0,0,7,0,0%,0%,7.57,0
pensie de invaliditate gradul 1 suma forum,0,11,7,125,0%,8.8%,8,2.95
avocatura.com dobanda legala,0,0,7,0,0%,0%,8.43,0
geoportal gov ro,0,0,7,0,0%,0%,8.43,0
cand a crescut tva la 21,0,0,7,0,0%,0%,9.29,0
dupa cat timp vine amenda de rovinieta,0,0,7,10,0%,0%,9.29,4.3
cadastru romania,0,0,7,5,0%,0%,10.14,14.6
cazier constanta,0,0,7,9,0%,0%,24.57,11.22
cat costa cazier judiciar,0,0,7,49,0%,0%,29.57,4.76
taxa cazier auto,0,1,7,73,0%,1.37%,37.43,2.84
cazier judiciar online gratuit,0,42,7,2557,0%,1.64%,38.29,8.47
eliberare cazier fiscal,0,0,7,54,0%,0%,44,9.06
calculator taxa timbru,0,5,7,525,0%,0.95%,46.29,7.01
ghiseul.ro contact,0,5,7,577,0%,0.87%,47.43,7.55
bonurile de masa intra in calculul indemnizatiei pentru cresterea copilului,0,0,7,5,0%,0%,52.71,7.2
pensionar,0,16,7,806,0%,1.99%,63,7.07
cazier fiscal,0,6,7,450,0%,1.33%,65.43,8.66
ce este cartea funciara,0,1,7,115,0%,0.87%,66.43,14.07
pfa cass,0,0,7,10,0%,0%,66.57,7.7
cazier fiscal administrator,0,0,7,23,0%,0%,74.86,8.7
venituri din chirii 2022,0,0,7,0,0%,0%,80,0
cat este tva-ul in romania,0,0,6,38,0%,0%,1,1.89
cat ii tva in romania,0,1,6,27,0%,3.7%,1,3.15
cat se plateste pensie alimentara la un copil,0,0,6,9,0%,0%,1,5.67
când poți ieși la pensie,0,0,6,9,0%,0%,1,2.44
pensie de intretinere 2 copii,0,0,6,0,0%,0%,1,0
pensia alimentară 2026,0,3,6,11,0%,27.27%,1.5,4.27
impozit 2.4 diesel,0,4,6,11,0%,36.36%,1.67,2
ce venituri intra la calculul indemnizatiei de crestere copil,0,0,6,36,0%,0%,2,2.86
certificat constatator de baza,0,2,6,102,0%,1.96%,2,7.17
impozit motor 2.7 diesel,0,0,6,32,0%,0%,2,3.94
pensie alimentara copii,0,1,6,8,0%,12.5%,2,3.25
valabilitate cf,0,4,6,23,0%,17.39%,2,1.39
e ghiseul.ro,0,20,6,286,0%,6.99%,2.17,2.65
1 copil,0,0,6,11,0%,0%,2.33,2.91
eliberare certificat de nastere online,0,2,6,14,0%,14.29%,2.5,2.57
cat este cota tva,0,0,6,8,0%,0%,2.67,2.12
cat este impozitul la un motor de 3000,0,1,6,14,0%,7.14%,3.17,3.36
daca sunt nascuta in 1969 cand ies la pensie,0,2,6,35,0%,5.71%,3.17,4.14
eliberare cazier auto,0,1,6,37,0%,2.7%,5.67,2.57
impozit auto 2026 galati,0,4,6,13,0%,30.77%,5.83,2
calculator dobanda legala remuneratorie,0,3,6,19,0%,15.79%,7.5,2.05
calculator dobanda legala penalizatoare og 13 2011,0,5,6,16,0%,31.25%,7.67,2
cat e amenda pt rovinieta 2026,0,0,6,20,0%,0%,7.83,3.35
dividende srl,0,0,6,0,0%,0%,9.5,0
model certificat de casatorie,0,1,6,10,0%,10%,9.67,5.2
calcul dobanda legala penalizatoare intre profesionisti,0,2,6,10,0%,20%,14.5,3.2
formular cazier judiciar,0,0,6,0,0%,0%,15.17,0
cazier permis auto,0,5,6,83,0%,6.02%,27.67,2.73
indemnizatie crestere copil minima,0,0,6,12,0%,0%,28.17,8.08
e rovinieta,0,0,6,0,0%,0%,29.33,0
ghiseul ro,0,0,6,96,0%,0%,31.17,7.71
rovinieta online romania,0,0,6,0,0%,0%,32,0
cazier sibiu,0,0,6,0,0%,0%,34.17,0
plata rovinieta online,0,0,6,0,0%,0%,37.83,0
concediu maternal,0,0,6,0,0%,0%,40.5,0
la indemnizatie se calculeaza si bonurile de masa,0,0,6,20,0%,0%,48.33,11.1
se iau in calcul bonurile de masa la indemnizatie,0,0,6,16,0%,0%,50.5,11.5
verificare cazier fiscal online,0,0,6,42,0%,0%,51.33,10.64
cazier fiscal persoana fizica online,0,2,6,124,0%,1.61%,58.33,10.25
cass la pfa,0,0,6,21,0%,0%,61,5.86
cazier fiscal persoana fizica,0,9,6,305,0%,2.95%,64.83,9.63
plafoane pfa,0,0,6,33,0%,0%,64.83,4.48
cass dividende 2024,0,0,6,0,0%,0%,65.67,0
ortofotoplanuri,0,0,6,0,0%,0%,66.5,0
valabilitate cazier fiscal,0,0,6,50,0%,0%,67.33,14.18
primesti indemnizatie daca nu lucrezi,0,0,6,5,0%,0%,72,17.8
crestere copil,0,0,6,31,0%,0%,72.83,9.87
impozit salariu 2024,0,0,6,7,0%,0%,74.17,8.86
indemnizatie crestere copil cu handicap 3 7 ani,0,0,6,6,0%,0%,74.17,33.33
cazier fiscal persoana juridica,0,0,6,94,0%,0%,74.5,10.93
contributii salarii 2024,0,0,6,0,0%,0%,76.5,0
21 tva,0,0,5,0,0%,0%,1,0
barbat nascut in 1967 cand ies la pensie,0,3,5,19,0%,15.79%,1,3.53
care este valoarea tva in romania,0,0,5,14,0%,0%,1,2.36
cass pe dividende 2026,0,2,5,12,0%,16.67%,1,1.83
daca depasesti viteza legala cu 20 km,0,0,5,0,0%,0%,1,0
imp dividende 2026,0,0,5,6,0%,0%,1,1
impozit 2.7 diesel,0,0,5,21,0%,0%,1,3.57
impozit bmw x5 3.0 diesel,0,0,5,9,0%,0%,1,8.11
impozit dividende an 2026,0,0,5,4,0%,0%,1,1
impozit mercedes 2.2 diesel,0,0,5,16,0%,0%,1,2.06
impozit motor 5.0 benzina,0,0,5,16,0%,0%,1,2.94
pensie alimentara pentru un copil,0,0,5,21,0%,0%,1,4.38
tva ul in romania,0,0,5,11,0%,0%,1,3.55
tva-ul in romania,0,0,5,6,0%,0%,1,3.17
varsta pensionare cnpp,0,0,5,36,0%,0%,1,6.94
numarul cadastral al imobilului,0,1,5,6,0%,16.67%,1.2,3.67
cat este o pensie alimentara,0,0,5,17,0%,0%,1.4,3.65
indemnizatie crestere copil 2025,0,0,5,37,0%,0%,1.6,2.43
cum se calculeaza,0,0,5,36,0%,0%,1.8,4.58
pensie anticipata femei nascute in 1970,0,6,5,19,0%,31.58%,1.8,1.47
cat este tva ?,0,0,5,0,0%,0%,2,0
sunt femeie,0,0,5,38,0%,0%,2,3.32
cat este pensia pe caz de boala gradul 2,0,5,5,32,0%,15.62%,2.2,2.78
tva 21 %,0,0,5,6,0%,0%,2.2,1.5
nascuta in 1972 cand ies la pensie,0,2,5,13,0%,15.38%,2.6,1.46
calcul taxa judiciara de timbru,0,0,5,43,0%,0%,3.8,4.65
procente,0,2,5,117,0%,1.71%,4.2,5.85
cum se calculeaza salariul,0,14,5,81,0%,17.28%,4.4,1.4
tva in 2025,0,0,5,4,0%,0%,4.8,6
ghișeul ro cazier,0,0,5,37,0%,0%,5.6,4.41
pensie romania 2026,0,1,5,13,0%,7.69%,5.6,6.31
concediu medical urgenta medico chirurgicala 2026,0,0,5,6,0%,0%,6.8,8
calculator varsta de pensionare,0,35,5,291,0%,12.03%,7,5.21
pensie de invaliditate gradul 3 suma forum pdf,0,0,5,29,0%,0%,7.4,3.21
calculator dividende 2026,0,30,5,732,0%,4.1%,7.8,4.49
nascut in 1969 cand ies la pensie,0,0,5,12,0%,0%,8.8,4.5
impozit locuinta,0,0,5,0,0%,0%,9.2,0
indemnizatie concediu maternitate,0,0,5,6,0%,0%,10,10
cazier judiciar online constanta,0,0,5,16,0%,0%,16.8,9.44
certificat de grefa online,0,0,5,7,0%,0%,17.4,16.14
integritate comportamentala,0,2,5,43,0%,4.65%,20.8,5.6
de unde se ridica cazierul judiciar,0,0,5,28,0%,0%,21,8.43
formular actualizare carte imobil,0,0,5,0,0%,0%,21.6,0
calculator taxe judiciare de timbru,0,1,5,40,0%,2.5%,23.4,6.38
valabilitate cazier judiciar persoana fizica,0,0,5,11,0%,0%,25.8,11.36
cerere cazier judiciar persoana juridica,0,0,5,6,0%,0%,27.4,10.67
geoportal ancpi,0,684,5,16521,0%,4.14%,30.4,5.77
cat costa un cazier,0,0,5,47,0%,0%,32.8,3.96
cazierul judiciar online,0,3,5,149,0%,2.01%,33.6,7.65
pret cazier,0,0,5,53,0%,0%,35.2,3.04
certificat de atestare fiscala,0,0,5,0,0%,0%,35.4,0
verificare rovinieta romania,0,25,5,643,0%,3.89%,37.2,5.67
ghiseul.ro cazier,0,24,5,3248,0%,0.74%,40.4,4.51
calcul alocatie copil,0,0,5,32,0%,0%,50.8,5.41
verificare cazier fiscal,0,0,5,71,0%,0%,51.6,8.24
calculator diurna externa,0,0,5,0,0%,0%,54.6,0
indemnizatia,0,1,5,9,0%,11.11%,55.8,9.78
apostila de la haga,0,0,5,74,0%,0%,56,25.22
calcul concediu maternitate,0,0,5,20,0%,0%,56.8,10.9
luna nasterii copilului se ia in calcul la indemnizatie,0,1,5,22,0%,4.55%,57,6.77
obtinere cazier fiscal,0,2,5,46,0%,4.35%,65.8,10.17
concediul de risc maternal afecteaza calculul indemnizatiei de maternitate,0,0,5,0,0%,0%,66,0
certificat cazier fiscal,0,0,5,75,0%,0%,68,22.15
plata cass pfa 2024,0,0,5,0,0%,0%,68,0
pfa indemnizatie crestere copil,0,0,5,0,0%,0%,68.2,0
cazier fiscal valabilitate,0,0,5,26,0%,0%,71.2,24.58
ce este cazierul fiscal,0,0,5,40,0%,0%,72,19.5
plafoane cass pfa 2024,0,0,5,0,0%,0%,74.4,0
plafon pfa,0,0,5,57,0%,0%,74.6,7.74
indemnizatie crestere copil 2024,0,0,5,45,0%,0%,75.6,8.4
cazier fiscal persoane juridice,0,0,5,28,0%,0%,76.2,28.93
funciara,0,0,5,14,0%,0%,77,59.07
plata cas pfa 2024,0,0,5,0,0%,0%,79,0
stat de plata,0,0,5,0,0%,0%,79,0
indemnizatia de crestere a copilului,0,0,5,0,0%,0%,79.6,0
factura cu tva,0,0,5,0,0%,0%,80.2,0
indemnizatie crestere al doilea copil,0,0,5,0,0%,0%,87.4,0
taxe notar cumparare apartament,0,0,5,0,0%,0%,90.6,0
cand ies la pensie daca sunt nascuta in 1969,0,4,4,20,0%,20%,1,4.5
cass dividende 2027,0,0,4,4,0%,0%,1,9.75
cat costa impozitul la motor de 3000,0,0,4,43,0%,0%,1,2.86
cat e tva in romania?,0,0,4,18,0%,0%,1,2.17
cat este cota de tva in romania,0,1,4,10,0%,10%,1,3.1
cat este pensia alimentara pentru 3 copii,0,0,4,9,0%,0%,1,3.33
cat este somajul pe luna forum,0,0,4,3,0%,0%,1,1
ce inseamna certificat de nastere tipizat si electronic,0,5,4,27,0%,18.52%,1,1.93
certificat constatator fonduri imm,0,1,4,17,0%,5.88%,1,1.29
euro 6,0,0,4,46,0%,0%,1,1.78
impozit contract inchiriere,0,0,4,8,0%,0%,1,5.5
impozit ford kuga 2.5 hybrid,0,0,4,9,0%,0%,1,5
pensie alimentara 1 copil calculator,0,1,4,3,0%,33.33%,1,1
pensie alimentară pentru un copil,0,2,4,15,0%,13.33%,1,1.6
tva de 21%,0,0,4,3,0%,0%,1,1.67
cum se calculeaza?,0,1,4,3,0%,33.33%,1.25,2.33
euro 5,0,0,4,21,0%,0%,1.25,1.81
impozit motor 5000 benzina,0,0,4,0,0%,0%,1.25,0
cat este pensia alimentara pentru un copil,0,0,4,9,0%,0%,1.5,2.22
cat e indemnizatia,0,0,4,8,0%,0%,1.75,1.62
cat iau indemnizatie crestere copil,0,0,4,0,0%,0%,1.75,0
ancpi functioneaza,0,1816,0,23947,0%,7.58%,0,3.94
eterra,0,634,0,35520,0%,1.78%,0,7.59
ancpi online,0,286,0,10601,0%,2.7%,0,6
e terra,0,243,0,8878,0%,2.74%,0,7.97
e-terra,0,226,1,6216,0%,3.64%,9,8.08
calculator pensie,0,192,3,2772,0%,6.93%,9.67,7.08
e terra ancpi,0,165,0,5583,0%,2.96%,0,6.5
geoportal ancpi harta,0,165,3,4401,0%,3.75%,3.33,6.66
calculator varsta pensionare anticipata 2026,0,157,3,849,0%,18.49%,45,2.42
calculator termene judiciare,0,147,0,1900,0%,7.74%,0,2.06
calculator tva,0,141,0,6763,0%,2.08%,0,4.15
calculator salariu brut net,0,129,2,4138,0%,3.12%,7.5,4.07
verifica rovinieta,0,125,2,4954,0%,2.52%,31.5,6.36
ancpi.ro,0,116,0,4631,0%,2.5%,0,5.99
cadastru ancpi,0,112,0,6065,0%,1.85%,0,6.43
e-terra ancpi,0,102,0,2836,0%,3.6%,0,6.93
myeterra ancpi,0,101,2,3160,0%,3.2%,9,8.02
cadastru blocat,0,100,0,4147,0%,2.41%,0,6.33
rovinieta online verificare,0,95,3,3602,0%,2.64%,51.67,5.63
ancpi login,0,93,0,4259,0%,2.18%,0,7.77
varsta pensionare femei 2026,0,90,0,1840,0%,4.89%,0,5.88
curs bnr azi,0,85,1,51231,0%,0.17%,7,7.3
ancpi cadastru,0,82,0,6180,0%,1.33%,0,6.24
geoportal ancpi numar cadastral,0,81,0,1038,0%,7.8%,0,3.38
cand se deblocheaza ancpi,0,71,0,883,0%,8.04%,0,3.4
calculator termene,0,70,0,1267,0%,5.52%,0,2.18
geoportal ancpi.ro,0,70,1,908,0%,7.71%,26,5.98
calculator vechime,0,70,0,472,0%,14.83%,0,5.92
ancpi status,0,70,2,419,0%,16.71%,1,3.19
calculator somaj 2026,0,63,0,613,0%,10.28%,0,2.54
site ancpi,0,62,0,954,0%,6.5%,0,5.01
extras carte funciara,0,60,3,2564,0%,2.34%,7,9.04
indemnizatie crestere copil 2026,0,58,0,1812,0%,3.2%,0,5.2
status ancpi,0,58,0,389,0%,14.91%,0,2.83
extras carte funciara online,0,55,0,2371,0%,2.32%,0,7.64
cadastru functioneaza,0,54,0,1469,0%,3.68%,0,5.19
anpci,0,52,0,2178,0%,2.39%,0,6.56
ocpi functioneaza,0,52,2,754,0%,6.9%,3,3.22
functioneaza ancpi,0,52,0,650,0%,8%,0,3.68
verificare rovinietă,0,50,1,1448,0%,3.45%,48,4.54
verificarea rovinieta,0,50,0,778,0%,6.43%,0,4.31
ancpi extras cf,0,48,0,2648,0%,1.81%,0,8.15
cand se da drumul la cadastru,0,48,0,1597,0%,3.01%,0,6.26
calculator salarii,0,47,1,5764,0%,0.82%,34,5.16
calculator impozit,0,47,0,603,0%,7.79%,0,4.24
extras de carte funciara online,0,46,0,2098,0%,2.19%,0,8.02
cand se da drumul la ancpi,0,44,0,637,0%,6.91%,0,3.35
amenda rovinieta 2026,0,43,2,1337,0%,3.22%,21,4.07
comunicat ancpi,0,43,0,793,0%,5.42%,0,5.55
situatie ancpi,0,43,0,531,0%,8.1%,0,5.15
carte funciara online,0,42,0,1882,0%,2.23%,0,7.32
calculator salariu brut,0,41,0,4475,0%,0.92%,0,4.76
ancpi e terra,0,41,0,683,0%,6%,0,6.71
ancpi functioneaza?,0,41,0,679,0%,6.04%,0,4
ancpi cand va functiona,0,40,0,940,0%,4.26%,0,3.76
noua varsta de pensionare,0,38,3,1092,0%,3.48%,32.67,9.15
punctul de pensie 2026,0,38,0,589,0%,6.45%,0,2.47
verificare valabilitate rovinieta,0,37,1,1417,0%,2.61%,12,5.94
eterra 3,0,36,0,3322,0%,1.08%,0,7.48
extras carte funciara gratuit,0,36,0,1448,0%,2.49%,0,7.89
ancpi update,0,36,0,735,0%,4.9%,0,4.86
eterra nu functioneaza,0,36,0,390,0%,9.23%,0,3.05
cum verific rovinieta,0,36,0,366,0%,9.84%,0,4.34
site cadastru,0,35,0,577,0%,6.07%,0,6.29
calcul termene judiciare,0,33,0,393,0%,8.4%,0,2.19
eterra public,0,32,1,1676,0%,1.91%,9,7.61
extras cf,0,32,2,1465,0%,2.18%,10,8.25
verificare rovineta,0,32,0,1147,0%,2.79%,0,5.97
deblocare cadastru,0,32,0,500,0%,6.4%,0,6.03
curs euro bnr azi,0,31,1,13243,0%,0.23%,7,7.19
cand revine ancpi,0,31,0,448,0%,6.92%,0,3.13
cazier rutier online,0,31,4,268,0%,11.57%,26,3.31
calculator vechime in muncă online,0,31,0,216,0%,14.35%,0,6.04
calcul salariu net,0,30,0,8967,0%,0.33%,0,6.98
ancpi blocat,0,30,0,717,0%,4.18%,0,5.98
localizare teren dupa numar cadastral,0,30,4,663,0%,4.52%,28.25,5.57
verificare rovinieta numar inmatriculare,0,30,1,579,0%,5.18%,12,7.31
cat este pensia pe caz de boala,0,29,2,709,0%,4.09%,2.5,3.73
am uitat cand expira rovinieta,0,29,2,581,0%,4.99%,26.5,5
simulare dosar pensionare,0,29,0,266,0%,10.9%,0,1.97
site ancpi nu functioneaza,0,29,0,235,0%,12.34%,0,2.02
reluare activitate ancpi,0,28,0,679,0%,4.12%,0,5.31
calculator puncte pensie,0,28,2,267,0%,10.49%,43.5,6.16
calculator dobanda legala penalizatoare,0,28,2,126,0%,22.22%,23,2.02
curs euro bnr,0,27,0,21316,0%,0.13%,0,9.1
eterra login,0,27,0,2116,0%,1.28%,0,6.87
verificare rovigneta,0,27,0,1737,0%,1.55%,0,6.39
calculator taxe notariale,0,27,2,901,0%,3%,18.5,6.13
sa dat drumul la cadastru,0,27,0,801,0%,3.37%,0,6.85
calculator tva 21,0,26,0,636,0%,4.09%,0,4.06
plata concediu medical 2026,0,26,0,274,0%,9.49%,0,3.56
deblocare ancpi,0,25,0,535,0%,4.67%,0,4.25
update ancpi,0,25,0,357,0%,7%,0,5.02
valoare punct pensie 2026,0,25,1,328,0%,7.62%,3,1.87
impozit auto calculator,0,25,0,150,0%,16.67%,0,2.65
calculator somaj,0,24,0,547,0%,4.39%,0,3.6
platforma ancpi,0,24,1,527,0%,4.55%,2,4.2
ancpi cand revine,0,24,0,451,0%,5.32%,0,3.65
ancpi nu functioneaza,0,24,0,172,0%,13.95%,0,2.88
calcul tva,0,23,0,2421,0%,0.95%,0,4.69
rovinieta verificare online,0,23,2,768,0%,2.99%,46.5,5.39
ancpi reluare activitate,0,23,0,630,0%,3.65%,0,4.45
cand se da drumul la cadastru?,0,23,0,95,0%,24.21%,0,5.2
imobile eterra,0,22,0,603,0%,3.65%,0,2.96
extras cf online gratuit,0,22,0,436,0%,5.05%,0,8.24
calculator vechime pentru pensionare,0,22,0,118,0%,18.64%,0,3.1
ancpi stiri de ultima ora,0,21,0,517,0%,4.06%,0,8.84
cand va functiona ancpi,0,21,0,460,0%,4.57%,0,4.27
cand isi revine ancpi,0,21,0,380,0%,5.53%,0,3.28
simulare calcul pensie,0,21,0,248,0%,8.47%,0,5.93
certificat de integritate comportamentala online gratuit,0,21,1,187,0%,11.23%,23,2.96
calcul somaj 2026,0,21,0,185,0%,11.35%,0,2.47
calcul vechime in munca pentru pensionare,0,21,0,165,0%,12.73%,0,4.3
myeterra,0,20,0,885,0%,2.26%,0,9.03
e terra functioneaza,0,20,0,468,0%,4.27%,0,5.51
varsta pensionare,0,20,0,463,0%,4.32%,0,8.96
termene judiciare,0,20,2,432,0%,4.63%,31.5,2.81
geoportal.ancpi.ro,0,20,0,268,0%,7.46%,0,6.49
calcul salariu brut,0,19,0,3299,0%,0.58%,0,5.11
ettera,0,19,0,1169,0%,1.63%,0,7.49
verificare rovinieta dupa numar aida,0,19,0,365,0%,5.21%,0,6.75
calculare impozit auto,0,19,1,139,0%,13.67%,5,2.55
calculator salariu net cu bonuri de masa,0,18,0,425,0%,4.24%,0,6.8
verificare rovinietă online,0,18,0,401,0%,4.49%,0,4.85
cat este pensia de invaliditate gradul 2,0,18,2,196,0%,9.18%,5,2.68
varsta pensionare barbati 2026,0,17,1,543,0%,3.13%,3,6.56
ancpi cand se deschide,0,17,0,281,0%,6.05%,0,7.26
ancpi e-terra,0,17,0,149,0%,11.41%,0,6.55
cautare numar cadastral,0,17,2,131,0%,12.98%,38,2.95
certificat constatator,0,16,3,2905,0%,0.55%,23.33,6.05
cazier online gratuit,0,16,1,866,0%,1.85%,30,7.74
eterra geoportal,0,16,0,702,0%,2.28%,0,6.89
ancpi cf online,0,16,1,628,0%,2.55%,1,8.16
ancpi extras online,0,16,0,620,0%,2.58%,0,6.53
cartea funciara online,0,16,0,389,0%,4.11%,0,6.76
ancpi azi,0,16,0,270,0%,5.93%,0,4.51
verificare rovinieta online dupa numar,0,16,0,252,0%,6.35%,0,5.06
cat este punctul de pensie in 2026,0,16,0,229,0%,6.99%,0,2.16
e ghiseul,0,16,1,165,0%,9.7%,4,2.66
funcționează ancpi,0,16,0,164,0%,9.76%,0,3.82
cand isi reia activitatea ancpi,0,16,0,60,0%,26.67%,0,5.13
curs bnr azi euro,0,15,0,4426,0%,0.34%,0,7.13
calculator salarii 2026,0,15,0,2326,0%,0.64%,0,9.86
ancpi cont,0,15,0,1025,0%,1.46%,0,8
geoportal eterra,0,15,2,747,0%,2.01%,65,7.09
epay ancpi ro login,0,15,0,747,0%,2.01%,0,8.14
verificare vigneta romania,0,15,0,651,0%,2.3%,0,5.34
ocpi,0,15,0,515,0%,2.91%,0,10.39
concedii medicale 2026,0,15,0,471,0%,3.18%,0,5.16
in cat timp vine amenda de rovinieta,0,15,2,261,0%,5.75%,24.5,4.09
calcul pensie,0,15,2,247,0%,6.07%,7,7.03
ancpi comunicate de presa,0,15,0,246,0%,6.1%,0,7.52
ancpi portal,0,15,0,232,0%,6.47%,0,3.77
cazier rutier,0,15,0,170,0%,8.82%,0,5.29
nr cadastral,0,15,0,120,0%,12.5%,0,3.45
ocpi extras cf online,0,15,0,115,0%,13.04%,0,7.26
calcul vechime in munca,0,15,0,92,0%,16.3%,0,8.02
calculator salariu brut 2026,0,14,0,1723,0%,0.81%,0,9.38
extras de carte funciara,0,14,4,800,0%,1.75%,21.5,8.83
ancpi extras carte funciara,0,14,0,719,0%,1.95%,0,7.78
cadastru,0,14,0,480,0%,2.92%,0,11.84
ancpi carte funciara,0,14,2,406,0%,3.45%,23.5,7.55
ancpi extras de carte funciara,0,14,0,379,0%,3.69%,0,7.68
functioneaza ancpi?,0,14,0,210,0%,6.67%,0,3.64
dobanda legala penalizatoare,0,14,2,197,0%,7.11%,41,1.57
e pay ancpi,0,14,0,155,0%,9.03%,0,6.65
calculator pensie cnas,0,14,0,146,0%,9.59%,0,3.77
calcul concediu medical iulie 2026,0,14,0,55,0%,25.45%,0,1.24
funcționează ocpi,0,14,0,52,0%,26.92%,0,3.67
curs bnr,0,13,0,4866,0%,0.27%,0,7.56
curs valutar bnr azi,0,13,0,3138,0%,0.41%,0,7.42
registrul proprietarilor,0,13,2,563,0%,2.31%,12.5,7.06
